97615	97615
98940	97615
97621	97615
97364	97615
97352	97615
97331	97615
97790	97615
97328	97615
97625	97615
97739	97615
97362	97615
99084	97615
97363	97615
98939	97615
97354	97615
97586	97615
97617	97615
97587	97615
97699	97615
98934	97615
97351	97615
97588	97615
94987	97615
95008	97615
97334	97615
97233	97615
97788	97615
99095	97615
99083	97615
97593	97615
97374	97615
97639	97615
98643	97615
94988	97615
97627	97615
95018	97615
97755	97615
97624	97615
98683	97615
98648	97615
6533	6533
97638	97615
97591	97615
98646	97615
7434	6533
97445	97615
97590	97615
97581	97615
97592	97615
95147	97615
97582	97615
97698	97615
97375	97615
97623	97615
6142	6533
97626	97615
61324	61324
94996	97615
97618	97615
97697	97615
98935	97615
65839	61324
95148	97615
97441	97615
6183	6533
97376	97615
97579	97615
12660	6533
6347	6533
97791	97615
6597	6533
97589	97615
6836	6533
98653	97615
95295	97615
94995	97615
61307	61324
97622	97615
97234	97615
97439	97615
98682	97615
6094	6533
95046	97615
97326	97615
99094	97615
6340	6533
6338	6533
65774	61324
97628	97615
8038	6533
97789	97615
65757	61324
6125	6533
6123	6533
12655	6533
97585	97615
6336	6533
6833	6533
95007	97615
97442	97615
6543	6533
53327	6533
95016	97615
53277	6533
6379	6533
6622	6533
97438	97615
6796	6533
65762	61324
98649	97615
6027	6533
97329	97615
65834	61324
97436	97615
97335	97615
8036	6533
7498	6533
6185	6533
53326	6533
97765	97615
6588	6533
95017	97615
63187	61324
6175	6533
6797	6533
12528	6533
97629	97615
12658	6533
6140	6533
66206	61324
63237	61324
6542	6533
68344	61324
98640	97615
97330	97615
97580	97615
63189	61324
12168	6533
95014	97615
8053	6533
98644	97615
12185	6533
97437	97615
65718	61324
97440	97615
12178	6533
8041	6533
99101	97615
12503	6533
95146	97615
8034	6533
65714	61324
6124	6533
65725	61324
97614	97615
98647	97615
6087	6533
98938	97615
6107	6533
53304	6533
13065	6533
97443	97615
65835	61324
6089	6533
97353	97615
12174	6533
97757	97615
97646	97615
6363	6533
12509	6533
65773	61324
6380	6533
6088	6533
97645	97615
98639	97615
6839	6533
99104	97615
10094	6533
97769	97615
95149	97615
7435	6533
97332	97615
6086	6533
7466	6533
53288	6533
6095	6533
7439	6533
6102	6533
6640	6533
7392	6533
97696	97615
7987	6533
97760	97615
